date,lastTradeDate,optionType,timeToMaturity,underlyingLastPrice,riskFreeRate,lastPrice,impliedVolatility,strike,PCR,VIX,GS_ABBV,SC_ABBV
2025-09-15,2025-09-15 14:52:56+00:00,put,1.3333333333333333,216.05245971679688,0.0390000009536743,5.3,0.0030197841583251,155.0,0.4631899888201607,15.6899995803833,10,0.0229448
2025-10-15,2025-10-15 14:39:47+00:00,put,0.2546201232032854,226.22000122070312,0.0385800004005432,0.48,0.0033521172607421,170.0,0.4775928573449693,20.63999938964844,11,0.096612715
2025-12-12,2025-12-12 20:23:00+00:00,call,0.191649555099247,,,11.61,0.0025867440551757,220.0,0.439841451163294,,8,0.138025
2025-09-23,2025-09-23 16:52:13+00:00,call,0.487337440109514,221.01666259765625,0.0384500002861022,54.8,0.0034583173706054,170.0,0.5142187272052708,16.639999389648438,11,0.070581513
2025-10-23,2025-10-23 19:28:36+00:00,put,0.5585215605749486,228.25,0.0378800010681152,18.2,0.0026419803192138,230.0,0.5859499129405888,17.299999237060547,10,0.089297643
2025-11-14,2025-11-14 19:49:15+00:00,put,0.5913757700205339,232.3600006103516,0.0378800010681152,6.05,0.0027423821472167,200.0,0.6433469499622695,19.82999992370605,11,0.110588261
2025-09-15,2025-09-15 18:31:47+00:00,call,0.1067761806981519,216.05245971679688,0.0390000009536743,9.8,0.0023120885986328,210.0,0.4631899888201607,15.6899995803833,10,0.0229448
2025-12-02,2025-12-02 20:04:24+00:00,call,0.0082135523613963,224.3699951171875,0.0367199993133544,69.04,0.0283105760986328,155.0,0.4933986081350169,16.59000015258789,8,0.04104886
2025-11-04,2025-11-04 16:51:25+00:00,put,0.1232032854209445,215.88999938964844,0.0379299998283386,23.69,0.0025464612548828,240.0,0.5405515160432186,19.0,11,0.066268919
2025-09-16,2025-09-16 14:18:17+00:00,put,0.0082135523613963,214.7121124267578,0.0389000010490417,0.04,0.0430078587402343,105.0,0.4263648168556618,16.360000610351562,12,0.050109746
